Customer_ID,Recency,Frequency,Monetary,CLV,Avg_CSAT,Txn_Count,Avg_Disc,Ret_Rate,Cluster,Segment
CUST-BD-00001,11,18.0,1024778.07,381412.05,3.88,5,17.046,0.0,2,Low-Engagement
CUST-BD-00002,15,18.0,1158096.44,26286.26,3.511111111111111,9,13.547777777777778,0.0,2,Low-Engagement
CUST-BD-00003,18,1.0,3101901.47,9534.97,3.725,4,11.010000000000002,0.25,2,Low-Engagement
CUST-BD-00004,118,3.0,2782084.34,19187.05,3.8285714285714287,7,8.965714285714286,0.0,0,Moderate-Spender
CUST-BD-00005,26,13.0,266927.78,378379.3,4.1000000000000005,6,16.808333333333334,0.0,2,Low-Engagement
CUST-BD-00006,45,8.0,602607.13,59320.03,3.88,5,9.122,0.0,2,Low-Engagement
CUST-BD-00007,107,12.0,2726967.45,700352.49,3.457142857142857,7,28.02285714285714,0.0,1,High-Value
CUST-BD-00008,121,24.0,142041.41999999998,52639.17,3.6666666666666665,3,12.333333333333334,0.0,0,Moderate-Spender
CUST-BD-00009,18,8.0,4515292.36,429283.36,3.783333333333333,6,19.745,0.0,3,VIP-Platinum
CUST-BD-00010,25,11.0,1995895.5,18349.59,4.045454545454546,11,8.03,0.0,3,VIP-Platinum
CUST-BD-00011,22,18.0,1213625.06,6032.72,3.6333333333333333,6,9.621666666666666,0.0,2,Low-Engagement
CUST-BD-00012,36,16.0,1814908.25,5167.09,3.6666666666666665,9,7.677777777777777,0.1111111111111111,2,Low-Engagement
CUST-BD-00013,54,3.0,3212982.37,16049.51,3.85,6,7.411666666666666,0.0,2,Low-Engagement
CUST-BD-00014,113,24.0,89069.0,70254.58,3.1,5,10.112,0.0,0,Moderate-Spender
CUST-BD-00015,5,15.0,2975648.91,3119.49,3.35,8,10.6075,0.125,3,VIP-Platinum
CUST-BD-00016,44,21.0,2520373.5,1571531.96,3.5076923076923077,13,25.134615384615383,0.07692307692307693,1,High-Value
CUST-BD-00017,34,17.0,1973955.58,8104.36,3.685714285714286,7,7.424285714285714,0.0,2,Low-Engagement
CUST-BD-00018,4,10.0,125677.14,71510.53,3.014285714285714,7,10.675714285714287,0.14285714285714285,2,Low-Engagement
CUST-BD-00019,19,18.0,711475.6799999999,379358.42,3.1333333333333333,6,16.845000000000002,0.3333333333333333,2,Low-Engagement
CUST-BD-00020,54,7.0,43673.53,287453.2,3.3,2,16.875,0.0,2,Low-Engagement
CUST-BD-00021,105,8.0,179367.53,18092.67,3.05,4,7.255,0.25,0,Moderate-Spender
CUST-BD-00022,14,21.0,392365.94,149097.82,3.3555555555555556,9,17.288888888888888,0.0,2,Low-Engagement
CUST-BD-00023,117,16.0,2138916.2199999997,45990.93,3.4799999999999995,5,17.188,0.0,0,Moderate-Spender
CUST-BD-00024,59,7.0,269002.88,64923.36,4.08,5,10.804,0.0,2,Low-Engagement
CUST-BD-00025,8,22.0,122550.21,260161.1,4.325,4,13.585,0.0,2,Low-Engagement
CUST-BD-00026,70,5.0,1322985.79,136215.53,3.2,8,14.085,0.375,2,Low-Engagement
CUST-BD-00027,27,4.0,103400.18000000001,413610.01,2.6571428571428575,7,14.742857142857144,0.42857142857142855,2,Low-Engagement
CUST-BD-00028,19,6.0,313656.32,18600.97,3.9333333333333336,6,9.174999999999999,0.0,2,Low-Engagement
CUST-BD-00029,4,9.0,3666209.4,21524.6,3.408333333333333,12,13.681666666666667,0.16666666666666666,3,VIP-Platinum
CUST-BD-00030,10,19.0,270297.98,23292.85,3.3428571428571425,7,13.992857142857144,0.0,2,Low-Engagement
CUST-BD-00031,13,6.0,383966.43,2080.71,3.18,5,11.17,0.2,2,Low-Engagement
CUST-BD-00032,108,8.0,2291328.64,18392.06,4.15,10,12.829999999999998,0.0,3,VIP-Platinum
CUST-BD-00033,184,8.0,3542077.51,24298.14,4.033333333333333,6,12.24,0.0,0,Moderate-Spender
CUST-BD-00034,35,1.0,2918655.92,32132.4,4.116666666666666,6,13.096666666666666,0.0,2,Low-Engagement
CUST-BD-00035,123,5.0,2702197.3000000003,47634.41,2.966666666666667,6,16.05666666666667,0.16666666666666666,0,Moderate-Spender
CUST-BD-00036,40,23.0,5500012.71,3997.19,3.9,8,6.7075000000000005,0.125,3,VIP-Platinum
CUST-BD-00037,36,4.0,1570089.13,67197.29,3.533333333333333,6,13.351666666666667,0.3333333333333333,2,Low-Engagement
CUST-BD-00038,48,11.0,7588592.56,29722.94,4.25,8,12.14125,0.0,3,VIP-Platinum
CUST-BD-00039,55,3.0,472927.87,18201.39,3.4,6,5.218333333333333,0.0,2,Low-Engagement
CUST-BD-00040,91,24.0,5532731.62,13105.15,3.7583333333333333,12,5.816666666666666,0.08333333333333333,3,VIP-Platinum
CUST-BD-00041,124,18.0,5377996.1,15267.07,2.9857142857142853,7,11.974285714285715,0.42857142857142855,3,VIP-Platinum
CUST-BD-00042,44,2.0,1341617.77,3421.46,3.1875,8,7.635,0.25,2,Low-Engagement
CUST-BD-00043,50,20.0,1883935.07,64608.14,3.7625,8,11.09375,0.125,2,Low-Engagement
CUST-BD-00044,164,24.0,244711.46,17746.91,3.816666666666667,6,7.364999999999999,0.16666666666666666,0,Moderate-Spender
CUST-BD-00045,122,13.0,1371114.87,4024.76,3.5833333333333335,6,10.211666666666666,0.0,0,Moderate-Spender
